index,peoplepower21_url,name,experience,블로그,트위터,페이스북,party,소속위원회,지역,성별,대수,당선횟수,당선방법,MEMBER_NO
김병욱+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=984,김병욱,"제20대 국회의원,더불어민주당 정책위 상임부의장",http://blog.naver.com/777byung,777byung1,https://www.facebook.com/777byung,더불어민주당,정무위원회,경기 성남시분당구을,남,제21대,재선,지역구,2100000000035
김상훈+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=732,김상훈,"제20대 국회의원(대구 서구/미래통합당),미래통합당 정책위원회 부의장",http://blog.naver.com/kshdg11,kshdg11,https://www.facebook.com/kshdg11,국민의힘,국토교통위원회,대구 서구,남,제21대,3선,지역구,2100000000038
김상희+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=552,김상희,"국회의원(제18,19,20대),문재인대통령직속 저출산·고령사회위원회 초대 부위원장",https://blog.naver.com/shk407,SosaKim,https://www.facebook.com/sosakim407,더불어민주당,과학기술정보방송통신위원회,경기 부천시병,여,제21대,4선,지역구,2100000000039
김석기+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=975,김석기,"한국공항공사 사장,서울지방경찰청장",http://blog.naver.com/podoriksk/,,https://www.facebook.com/podoripapa,국민의힘,외교통일위원회,경북 경주시,남,제21대,재선,지역구,2100000000040
김선교+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1120,김선교,"양평군수 3선,자유한국당 여주시양평군 당원협의회 위원장",https://band.us/@kimsg21,,https://www.facebook.com/sungyo.kim.1,국민의힘,농림축산식품해양수산위원회,경기 여주시양평군,남,제21대,초선,지역구,2100000000041
김성원+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=985,김성원,"국회의장 정무비서관,미래통합당 대변인",http://blog.naver.com/v0413ksw,sungwon3379,https://www.facebook.com/sungwon3379,국민의힘,환경노동위원회,경기 동두천시연천군,남,제21대,재선,지역구,2100000000042
김성주+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=763,김성주,"국민연금공단 이사장,제19대 국회의원",https://blog.naver.com/ksjwithjj,kimsungju,https://www.facebook.com/kimsungju21,더불어민주당,보건복지위원회,전북 전주시병,남,제21대,재선,지역구,2100000000043
김성환+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1026,김성환,"20대 국회의원,민선5기,6기 노원구청장",https://blog.naver.com/human-nowon,no1nowon,https://www.facebook.com/no1nowon,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구병,남,제21대,재선,지역구,2100000000044
김수흥+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1130,김수흥,"국회사무처 사무차장,국회예산결산특별위원회 수석전문위원",,,https://www.facebook.com/profile.php?id=100035522414793,더불어민주당,기획재정위원회,전북 익산시갑,남,제21대,초선,지역구,2100000000045
김승남+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=768,김승남,"더불어민주당 고흥보성장흥강진 지역위원장,19대 국회의원",https://blog.naver.com/sook21cc,,https://www.facebook.com/profile.php?id=100036724276594,더불어민주당,농림축산식품해양수산위원회,전남 고흥군보성군장흥군강진군,남,제21대,재선,지역구,2100000000046
김승수+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1072,김승수,"대구광역시 행정부시장,대통령실 기획관리실 선임행정관",https://blog.naver.com/kiminnotank,,https://www.facebook.com/seungsu.kim.946,국민의힘,문화체육관광위원회,대구 북구을,남,제21대,초선,지역구,2100000000047
김승원+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1094,김승원,"수원지방법원 판사,문재인대통령 청와대행정관(대통령비서실)",https://blog.naver.com/sw_with_suwon,sw_with_suwon,https://www.facebook.com/telgasem,더불어민주당,문화체육관광위원회,경기 수원시갑,남,제21대,초선,지역구,2100000000048
김영배+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1046,김영배,"민선5기, 6기 성북구청장,문재인대통령 청와대비서관(정책조정/민정)",https://blog.naver.com/clubyb,ybkim86,https://www.facebook.com/clubyb,더불어민주당,법제사법위원회,서울 성북구갑,남,제21대,초선,지역구,2100000000049
김영식+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1141,김영식,"금오공과대학교 총장,창업진흥원 초대 이사장",https://blog.naver.com/yeungshik20,,https://www.facebook.com/yeungshik20,국민의힘,과학기술정보방송통신위원회,경북 구미시을,남,제21대,초선,지역구,2100000000050
김영주+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=495,김영주,"국회의원,고용노동부 장관,",http://youngjoo.kr/,yjkim550727,https://www.facebook.com/youngjoo2012,더불어민주당,외교통일위원회,서울 영등포구갑,여,제21대,4선,지역구,2100000000051
김영진+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=982,김영진,"국회의원,더불어민주당 전략기획위원장",http://blog.naver.com/ersd34,minjoop,https://www.facebook.com/yjkimk,더불어민주당,기획재정위원회,경기 수원시병,남,제21대,재선,지역구,2100000000052
김영호+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=890,김영호,"더불어민주당 서대문구을 국회의원,더불어민주당 원내부대표",http://blog.naver.com/frencisco,minjoo05,https://www.facebook.com/stookim,더불어민주당,외교통일위원회,서울 서대문구을,남,제21대,재선,지역구,2100000000053
김용민+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1111,김용민,"법무부 2기 법무검찰개혁위원회 위원,한양대학교 법학전문대학원 겸임교수",https://blog.naver.com/fopeopler,kimyong72790925,https://www.facebook.com/fopeople,더불어민주당,법제사법위원회,경기 남양주시병,남,제21대,초선,지역구,2100000000055
김용판+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1074,김용판,"서울경찰청장,달서경찰서장",https://blog.naver.com/kyp8969,,https://www.facebook.com/kyp8969,국민의힘,행정안전위원회,대구 달서구병,남,제21대,초선,지역구,2100000000056
김웅+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1058,김웅,"법무연수원 교수,부장검사",https://blog.naver.com/songpawoong,,https://www.facebook.com/profile.php?id=100047969150597,국민의힘,환경노동위원회,서울 송파구갑,남,제21대,초선,지역구,2100000000057
김원이+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1133,김원이,"서울특별시 정무부시장,김대중 대통령 청와대 행정관",https://blog.naver.com/kimwoni8182,,https://www.facebook.com/kimwoni8182,더불어민주당,보건복지위원회,전남 목포시,남,제21대,초선,지역구,2100000000058
김윤덕+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=761,김윤덕,"문재인대통령후보 전북공동상임선대위원장,제19대 국회의원",https://blog.naver.com/ydkim22,,https://www.facebook.com/ydkim22,더불어민주당,국토교통위원회,전북 전주시갑,남,제21대,재선,지역구,2100000000059
김은혜+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1096,김은혜,"MBC 뉴스데스크 앵커,청와대 대변인",https://blog.naver.com/eunhye4400,,https://www.facebook.com/kimeunhyecamp,국민의힘,국토교통위원회,경기 성남시분당구갑,여,제21대,초선,지역구,2100000000060
김정재+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=973,김정재,"제20대 국회의원(포항시북구/미래통합당),미래통합당 원내대변인",http://blog.naver.com/lawjj,,https://www.facebook.com/lawjj2016,국민의힘,산업통상자원중소벤처기업위원회,경북 포항시북구,여,제21대,재선,지역구,2100000000061
김정호+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1036,김정호,"국회의원,대통령비서실 기록관리비서관",https://blog.naver.com/hangomy,kimjungho3359,https://www.facebook.com/kimjungho3359,더불어민주당,산업통상자원중소벤처기업위원회,경남 김해시을,남,제21대,재선,지역구,2100000000062
김종민+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1007,김종민,"청와대 대변인,논산시계룡시금산군 국회의원",http://xn--4k0bm4xbxj.com/,socmind,https://www.facebook.com/socmind,더불어민주당,법제사법위원회,충남 논산시계룡시금산군,남,제21대,재선,지역구,2100000000063
김주영+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1117,김주영,"제21대총선 더불어민주당 공동선대위원장,더불어민주당 정책위원회 부의장",https://blog.naver.com/peoplewin60,GimpoLOVE_kjy,https://www.facebook.com/kimjuyoung60,더불어민주당,기획재정위원회,경기 김포시갑,남,제21대,초선,지역구,2100000000064
김진표+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=354,김진표,"노무현정부 경제부총리,더불어민주당 비상경제대책본부장",https://blog.naver.com/jinpyo311,jinpyokim,https://www.facebook.com/jinpyowa,더불어민주당,국방위원회,경기 수원시무,남,제21대,5선,지역구,2100000000066
김철민+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=986,김철민,"민선5기 안산시장,제20대 국회의원",http://blog.naver.com/kcm8764,kimcm8764,https://www.facebook.com/kcm8764,더불어민주당,교육위원회,경기 안산시상록구을,남,제21대,재선,지역구,2100000000067
김태년+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=359,김태년,"제20대 국회의원(3선),더불어민주당 정책위의장",https://blog.naver.com/ktn208,kimtaenyeon,https://www.facebook.com/kimtaenyeon,더불어민주당,기획재정위원회,경기 성남시수정구,남,제21대,4선,지역구,2100000000068
김태호+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=297,김태호,"제32·제33대 경상남도도지사,제18·제19대 국회의원",https://blog.naver.com/chiutaeho,taehois,https://www.facebook.com/taehois,국민의힘,외교통일위원회,경남 산청군함양군거창군합천군,남,제21대,3선,지역구,2100000000069
김태흠+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=758,김태흠,"제20대 국회의원,자유한국당 최고위원",http://kimtaeheum.com/,ktheum,https://www.facebook.com/ktheum,국민의힘,농림축산식품해양수산위원회,충남 보령시서천군,남,제21대,3선,지역구,2100000000070
김한정+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=990,김한정,"제20대 국회의원,청와대 제1부속실장(김대중 대통령)",http://blog.naver.com/hanjungkim,hanjungok,https://www.facebook.com/kimhanjung,더불어민주당,정무위원회,경기 남양주시을,남,제21대,재선,지역구,2100000000071
김형동+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1139,김형동,"법무법인 중앙법률원 대표 변호사,노동법이론 실무학회 이사",https://blog.naver.com/khyungdong,,https://www.facebook.com/profile.php?id=100048239001068,국민의힘,행정안전위원회,경북 안동시예천군,남,제21대,초선,지역구,2100000000072
김회재+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1135,김회재,"광주지방검찰청 검사장,더불어민주당 정책위부의장",,,https://www.facebook.com/hoijae.kim.35,더불어민주당,국토교통위원회,전남 여수시을,남,제21대,초선,지역구,2100000000074
김희곤+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1063,김희곤,"해양수산부 장관 정책보좌관,청와대 기획조정실 근무",https://blog.naver.com/caesar1217,,https://www.facebook.com/2kimheegon,국민의힘,정무위원회,부산 동래구,남,제21대,초선,지역구,2100000000075
김희국+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=730,김희국,"국토해양부 제2차관,제19대 국회의원",http://blog.naver.com/heekuk1020,,https://www.facebook.com/unclekim1020,국민의힘,국토교통위원회,경북 군위군의성군청송군영덕군,남,제21대,재선,지역구,2100000000076
노웅래+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=368,노웅래,"제20대 국회의원,국회 과학기술정보방송통신위원회 위원장",http://blog.naver.com/with_wraenoh,GoWith_WRaenoh,https://www.facebook.com/wraenoh,더불어민주당,환경노동위원회,서울 마포구갑,남,제21대,4선,지역구,2100000000078
